X,Y,OBJECTID,AUN,SCHOOL_NUM,LOCATION_ID,FACIL_NAME,FACILNAME_LABEL,FACIL_ADDRESS,ZIPCODE,FACIL_TELEPHONE,ACTIVE,GRADE_LEVEL,GRADE_ORG,ENROLLMENT,TYPE,TYPE_SPECIFIC
-75.16956467831875,39.995555316701321,500,226517252,,,St Martin de Porres School,St Martin de Porres School,2300-36 W LEHIGH AVE,19132,(215) 223-6872,Open,Elem/Middle,K-8,398,Private,Archdiocese
-75.102018973530008,39.984962673838304,501,226514552,,,Our Lady of Port Richmond School,Our Lady of Port Richmond Sch,2639 E ALLEGHENY AVE,19134,(215) 739-1920,Open,Elem/Middle,pre K-8,424,Private,Archdiocese
-74.973706753544064,40.102260991469286,502,226516202,,,St Anselm Elementary School,St Anselm Elem,12656 DUNKS FERRY RD,19154,(215) 632-1133,Open,Elem/Middle,pre K-8,373,Private,Archdiocese
-75.010035469466217,40.124454772125979,503,226517152,,,St Christopher School,St. Christopher Sch,13301 PROCTOR RD,19116,215-673-5787,Open,Elem/Middle,pre K-8,550,Private,Archdiocese
-74.986695741969982,40.085186028838649,504,226510452,,,Archbishop Ryan High School,Archbishop Ryan HS,11201 ACADEMY RD,19154,(215) 651-4471,Open,High School,9-12,1616,Private,Archdiocese
-75.174399548915815,39.919323025161326,505,226519022,,,St Monica Senior School,St Monica Sr,2500 S 16TH ST,19145,(215) 467-5338,Open,Elem/Middle,6-8,452,Private,Archdiocese
-75.177535822926345,40.005178883443385,506,226514102,,,Mercy Career and Technical High School,Mercy Vocational HS,2901 W ALLEGHENY AVE,19129,(215) 226-1225 ,Open,High School,9-12,371,Private,Archdiocese
-75.153486449948289,39.972244975105802,507,226518662,,,St Malachy School,St Malachy School,1012 W Thompson St,19122,(215) 232-0696,Open,Elem/Middle,K-8,194,Private,Archdiocese
-75.086759007299293,40.031711660354745,508,226518752,,,St Martin of Tours School,St Martin of Tours School,5400 E ROOSEVELT BLV,19124,(215) 533-3050,Open,Elem/Middle,pre K-8,433,Private,Archdiocese
-74.992932196987041,40.059910013187142,509,226518332,,,St Katherine Siena School,St Katherine Siena Sch,9720-88 FRANKFORD AVE,19114,(215) 637-2181,Open,Elem/Middle,K-8,549,Private,Archdiocese
-75.209523114039769,39.963914115985524,510,226518062,,,Our Mother of Sorrows/St Ignatius of Loyola School,Our Mother of Sorrows/St Ignatius of Loyola School,632-44 N 43RD ST,19104,215-473-5828,Open,Elem/Middle,pre K-8,274,Private,Archdiocese
-75.249135909526487,39.969512005494423,511,226517352,,,St Frances Cabrini Regional Catholic School,St Frances Cabrini,405 N 65th St,19151,(215)748-2994,Open,Elem/Middle,pre K-8,267,Private,Archdiocese
-75.178286247203474,39.913561621712894,512,226519242,,,St Pio Regional Catholic School,St Pio Catholic Regional School,1826 Pollock Street,19145,(215)467-5430,Open,Elem/Middle,pre K-8,266,Private,Archdiocese
-75.066532764068526,40.035032106275494,513,300518675,,,"Sylvan Learning Center
",Sylvan Lrn Ctr,6537 Roosevelt Blvd,19149,(215)743-6200,Open,Tutoring,Ungraded,,Private,Private
-74.977272263272937,40.092660686134309,514,300513270,,,Delta School,Delta School,3515 WOODHAVEN RD,19154,215-637-8235,Open,Elem/Mid/High,K-12,56,Private,Private
-75.215267015488777,40.082674039204882,515,,,,Norwood Fontbonne Academy (Annex),Norwood Fontbonne Acad,40 E Sunset Avenue,19118,215-247-3811,Open,Elementary School,K-6,258,Private,Private
-75.214863077276661,40.080508425000041,516,226514502,,,Norwood Fontbonne MS,Norwood Fontbonne MS,8891 Germantown Ave,19118,215-247-3811,Open,Middle School,7-8,91,Private,Private
-75.211793370471653,40.060720892508236,517,226511002,,,Springside Chestnut Hill Academy,Springside Chestnut Hill Academy,500 W Willow Grove Ave,19118,(215) 247-4700,Open,Elem/Mid/High,pre K-12,491,Private,Private
-75.212832282801969,40.060821275667806,518,226515802,,,Springside Chestnut Hill Academy,Springside Chestnut Hill Academy,8000 CHEROKEE ST,19118,(215) 247-4700,Open,Elem/Mid/High,pre K-12,404,Private,Private
-75.20555097932963,39.970732244332893,519,126513070,7557,3308,Belmont Academy Charter School,Belmont Academy CS,907 N 41st St,19104,(215) 396-5768,Open,Elementary School,Kindergarten,237,Charter,Charter
-75.017115701266306,40.104874966311854,520,,,3322,Philadelphia Academy Charter School (Annex),Phila Acad CS,1700 Tomlinson Rd,19116,215-673-3990,Open,High School,9-12,484,Charter,Charter
-75.161377030165767,39.978688461376954,521,,,3374,Alliance for Progress Charter School (Annex),Alliance CS (Annex),1630-32 N 16th St,19121,(215) 232-4892,Open,Elementary School,4-8,,Charter,Charter
-75.092234280815305,40.049450204609592,522,226510912,,,Cedar Grove Christian Acad Lower School,Cedar Grove Christian Acad,600 Hellerman Street,19111,(215) 725-3383,Open,Elem/Middle,pre K-8,269,Private,Private
-75.148141999591743,39.942679731360116,523,226519162,,,St Peters School,St Peters School,311-21 LOMBARD ST,19147,(215) 925-3963,Open,Elem/Middle,pre K-8,209,Private,Private
-75.137549004455309,39.991988975527732,524,226519672,,,Timothy Academy,Timothy Acad,2637-47 N 04TH ST,19133,(215) 425-8886,Open,Elem/Middle,K-8,137,Private,Private
-75.164896391433942,39.97315271671998,525,226518302,,,St Joseph's Preparatory School,St. Joseph's Prep Sch,1733 W GIRARD AVE,19130,215-978-1950,Open,High School,9-12,992,Private,Private
-75.213723657177709,39.94874297688272,526,226515682,,,Faith Connection Christian Academy,Faith Connection Christian Acad,4524 Baltimore Ave,19143,(215) 592-0974,Open,Elem/Mid/High,K-12,145,Private,Private
-75.047001865250792,40.107118891923633,527,326510160,,,Red Lion Elementary School,Red Lion Elem,256 GEIGER RD,19115,(215) 464-8623 ,Open,Elementary School,K-5,61,Private,Private
-74.985949503735952,40.105073505915897,528,300519545,,,Woodhaven,Woodhaven,2900 Southampton Rd,19154,(215) 671-5062,Open,Special Center,Ungraded,9,Private,Private
-74.986870402389158,40.104700507221217,529,326510075,,,Northwestern Human Services,Northwestern Human Services,2900 SOUTHAMPTON RD,19154,215-671-5155,Open,Elem/Mid/High,K-12,32,Private,Private
-74.985669800248061,40.060003450361613,530,226510232,,,Alpha House Nursery & Kindergarten,Alpha House Nursery & kdg,9801 FRANKFORD AVE,19114,(215) 632-3366,Open,Kindergarten,pre K-K,31,Private,Private
-74.993427615862871,40.058075511324454,531,226510026,,,All Saints Episcopal School,All Saints Episcopal Sch,9571 FRANKFORD AVE,19114,(215) 637-8787,Open,Kindergarten,pre K-K,16,Private,Private
-75.060136282853719,40.019020419262375,532,226510032,,,Maranatha Baptist Academy,Maranatha Baptist Acad,4525 COMLY ST,19135,(215) 338-9535,Open,Ungraded,Ungraded,,Private,Private
-75.094007673929909,40.016696251261031,533,300512140,,,Bridge School,Bridge School,1100 Adams Ave,19111,(215) 342-5000,Open,Vo-tech,Vo-Tech,31,Private,Private
-75.05643079877234,40.04377554450501,534,226515662,,,Northeast Central Chr Sch,Northeast Central Chr Sch,7200-50 E ROOSEVELT BLV,19149,(215) 624-8046,Open,Kindergarten,pre K-K,10,Private,Private
-75.078458827508186,40.04038563884771,535,226510068,,,Crystal River Academy,Crystal River Acad,6401 LORETTO AVE,19111,(215) 744-3757,Open,Pre-K,pre K,28,Private,Private
-75.101378450721029,40.012116013520171,536,226512252,,,Holy Innocents School,Holy Innocents School,1301 E HUNTING PARK AVE,19124,(215) 743-5909,Open,Elem/Middle,pre K-8,274,Private,Archdiocese
-75.101625719587148,40.011219997728382,537,226518542,,,St Lucy Day School For Children With Visual Impairments,St Lucy Day Sch For Children w/ Visual Impair,1301 E HUNTING PARK AVE,19124,(215) 289-4220,Open,Elem/Middle,pre K-8,28,Private,Archdiocese
-75.156340150860913,40.006952641237035,538,226510064,,,Spring Garden Academy - Tioga,Spring Garden Acad - Tioga,3501-05 N 17TH ST,19140,(215)226-1000,Open,Elem/Middle,pre K-8,,Private,Private
-75.157845206579765,40.002512094537771,539,300518830,,,Thankful Learning Center Inc,Thankful Lrn Ctr,3200-02 N 17TH ST,19140,(215) 226-5544,Open,Pre-school,Preschool,10,Private,Private
-75.167743319040383,39.972726810377146,540,226510063,,,Education is the Key Learning Center,Education is the Key Lrn Ctr,1901 W Girard Ave,19142,(215) 937-1980,Open,Elem/Middle,Pre K-7,11,Private,Private
-75.144908420682228,40.040017176278305,541,226510070,,,Tarbiyatul ILM Academy Inc.,Tarbiyatul ILM Acad,5700 N Broad St,19141,(215) 288-4600,Open,Elem/Middle,K-8,84,Private,Private
-75.16327163534163,40.041740927545391,542,226510031,,,Kids World Christian Education Center- Germantown,Kids World Christian Ed Center- Germantown,629 E Church Lane,19144,(215) 848-1800,Open,Elementary School,pre K-5,20,Private,Private
-75.182484404821253,40.004258477855139,543,226510073,,,St James School,St James School,3201-29 W CLEARFIELD ST,19132,(215) 226-1276,Open,Middle School,5-8,32,Private,Private
-75.186092998470144,40.001663956557117,544,300515320,,,Prodigy Learning Centers,Prodigy Lrn Ctrs,3345 W HUNTING PARK AVE,19132,(215) 228-7678,Open,Elementary School,pre K-3,75,Private,Private
-75.149213667454987,40.052100237669706,545,226514262,,,Mt Airy Christian Day School,Mt Airy Christian Day Sch,6401 OGONTZ AVE,19126,(215) 276-2990,Open,Pre-school,Preschool,26,Private,Private
-75.151567517466702,40.050893119366535,546,300510078,,,Johnson Child Care Center,Johnson Child Care Ctr,1919 MEDARY AVE,19141,215 927 6677,Open,Pre-K,pre K,137,Private,Private
-75.155853430924992,40.047681543946076,547,226511712,,,Adelaide Educational Academy Center,Adelaide Ed Acad Ctr,6100 N 21ST ST,19138,(215) 844-5000,Open,Pre-K/Elementary,Pre K- 7,27,Private,Private
-75.139921351491381,40.041016858703244,548,226515695,,,Saints Tabernacle Day School,Saints Tabernacle Day Sch,5800 N MARVINE ST,19141,(215) 548-6011,Open,Elem/Middle,K-8,55,Private,Private
-75.145054619598852,40.028650267142275,549,226510004,,,Logan Hope School,Logan Hope Sch,4934 N 13TH ST,19141,(215) 455-7442,Open,Elem/Middle,K-8,60,Private,Private
-75.231468594535059,39.987856537955892,550,,,3327,Laboratory Charter School of Communications/Design (Annex),Laboratory CS of Comm/Design (Annex),5339 Lebanon Ave,19131,215-877-9880,Open,Elem/Middle,5-8,,Charter,Charter
-75.243043760657173,39.988180899726977,551,,,3377,Laboratory Charter School of Communications/Design (Annex),Laboratory CS of Comm/Design (Annex),5901 Woodbine Ave,19131,215-452-5580,Open,Elementary School,K-4,,Charter,Charter
-74.987848204817524,40.0807023824213,552,126515001,,8320,John Hancock Demonstration Middle School- LaBrum Campus,"La Brum, General J. Harry",10800 Hawley St.,19154,(215) 281-2607,Open,Middle School,6-8,227,District,District
-75.227012392642052,39.92197632601048,553,226516452,,,St Barnabas Catholic School,St. Barnabas Catholic School,6334 Buist Ave,19142,(215) 729-3603,Open,Elem/Middle,pre K-8,239,Private,Archdiocese
-75.193706311097202,39.935268989938201,554,226517702,,,St Gabriel School,St Gabriel School,1432 S  29TH ST,19146,215-468-7230,Open,Elem/Middle,pre K-8,159,Private,Archdiocese
-75.015576669005057,40.046904572169957,555,226517302,,,St Dominic School,St Dominic School,8504 FRANKFORD AVE,19136,(215) 333-6703,Open,Elem/Middle,pre K-8,391,Private,Archdiocese
-75.21549466742519,39.947776065754816,556,226517552,,,St Francis Desales School,St Francis Desales Sch,917 S 47TH ST,19143,(215) 387-1749,Open,Elem/Middle,K-8,521,Private,Archdiocese
-75.16292789655995,39.927391528025069,557,226518692,,,SS John Neumann and Maria Goretti Catholic High School,SS John Neumann & Maria Goretti Catholic HS,1736 S 10TH ST,19148,(215) 465-8437,Open,High School,9-12,662,Private,Archdiocese
-75.034324091463603,40.031355551589108,558,226518002,,,St Huberts Catholic High School,St Huberts Cath HS,7320 TORRESDALE AVE,19136,(215) 624-6840,Open,High School,9-12,675,Private,Archdiocese
-75.126793894163697,39.989894420763342,559,226519752,,,Visitation School,Visitation School,300-40 E LEHIGH AVE,19125,(215) 634-7280,Open,Elem/Middle,K-8,408,Private,Archdiocese
-75.211695595726908,39.957254156574102,560,226519902,,,West Catholic Preparatory High School,West Phila Cath HS,4501-17 CHESTNUT ST,19139,(215)386-2244,Open,High School,9-12,373,Private,Archdiocese
-75.174692269845181,39.93040202507202,561,226519382,,,St Thomas Aquinas School,St Thomas Aquinas Sch,1616 S  17TH ST,19145,(215) 334-0878,Open,Elem/Middle,pre K-8,208,Private,Archdiocese
-75.167117829181748,40.071991440947059,562,226519222,,,St Raymond of Penafort School,St Raymond School,1330 VERNON RD,19150,(215) 548-1919,Open,Elem/Middle,pre K-8,263,Private,Archdiocese
-75.06042712925931,40.030793515536494,563,226519422,,,Blessed Trinity Regional Catholic School,Blessed Trinity Regional Cath Sch,3001 LEVICK ST,19149,(215) 338-9797,Open,Elem/Middle,1-8,466,Private,Archdiocese
-75.144876683945512,39.969594475309158,564,226519142,,,St Peter the Apostle School,St Peter the Apostle Sch,1019 N 5th St,19123,(215) 922-5958,Open,Elem/Middle,pre K-8,188,Private,Archdiocese
-75.049967886854716,40.041441349462161,565,226518932,,,St Matthew School,St Matthew School,3000 COTTMAN AVE,19149,(215) 333-3142,Open,Elem/Middle,pre K-8,835,Private,Archdiocese
-75.12965629280859,39.976776858594171,566,226518422,,,St Laurentius School,St Laurentius School,1612 E BERKS ST,19125,(215) 423-8834,Open,Elem/Middle,K-8,214,Private,Archdiocese
-75.144716085164703,40.013520718632712,567,226512952,,,Little Flower Catholic School,Little Flower Cath Sch,1001 W LUZERNE ST,19140,215-455-6900,Open,High School,9-12,750,Private,Archdiocese
-75.101610154559225,40.011696283386158,568,226510502,,,Archbishop Ryan Academy for the Deaf,Archbishop Ryan Sch Hard of Hearing Children,4251 L Street,19124,(215) 289-4220,Open,Elem/Middle,K-8,8,Private,Archdiocese
-75.138975382081028,40.004912120013373,569,226519442,,,St Veronica School,St Veronica School,3501-25 N 6TH ST,19140,(215) 225-1575,Open,Elem/Middle,K-8,200,Private,Archdiocese
-75.093348782548389,39.988589105915636,570,226517752,,,St George School,St George School,2700 E VENANGO ST,19134,(215) 634-8803,Open,Elem/Middle,pre K-8,197,Private,Archdiocese
-75.110274046628874,39.981496262265324,571,226514252,,,Mother Divine Grace School,Mother of Divine Grace Sch,2612 E MONMOUTH ST,19134,(215) 426-7325,Open,Elem/Middle,pre K-8,214,Private,Archdiocese
-74.985925744923861,40.056809008914549,572,226514352,,,Nazareth Academy Grade School,Nazareth Acad Grade Sch,4701 Grant Ave,19114,215-637-7777,Open,Elem/Middle,1-8,233,Private,Private
-74.987627520572559,40.059143106621555,573,226514402,,,Nazareth Academy High School,Nazareth Acad HS,4001 GRANT AVE,19114,(215) 637-7676,Open,High School,9-12,432,Private,Private
-75.227160086425997,39.953431551213377,574,126515001,3807,1330,Global Leadership Academy Southwest,Global Leadership Academy at Huey,5200 Pine St,19143 - 4111,,Open,Elem/Middle,K-8,562,Charter,Charter
-75.129076712694072,39.978756643309325,575,226510512,,,Bethel Baptist Academy,Bethel Baptist Acad,2210 E SUSQUEHANNA AVE,19125,(215) 426-1909,Open,Elem/Mid/High,pre K-12,53,Private,Private
-75.24252029246847,39.920063946582182,576,226511922,,,Greater Hope Christian Academy,Greater Hope Christian Acad,7029 WOODLAND AVE,19142,215-729-0374,Open,Elem/Mid/High,K-12,114,Private,Private
-75.211354294540669,39.955476851156305,577,226512762,,,Islamic Education School,Islamic Education Sch,4431-39 WALNUT ST,19104,(215) 387-8888,Open,Elem/Middle,pre K-8,50,Private,Private
-75.243334411189693,39.960552634375759,578,226512872,,,Kids World Christian Education Center- West Philadelphia,Kids World Christian Ed Ctr- West Phila,100-04 S 61ST ST,19139,215-474-1484,Open,Elementary School,pre K-4,14,Private,Private
-75.252434051890262,39.971953719736184,579,226510011,,,Shepherds Christian Academy,Shepherds Christian Acad,6634-42 HAVERFORD AVE,19151,(215) 476-4101,Open,Elementary School,pre K-5,105,Private,Private
-75.218521432045236,39.937524795371885,580,226512962,,,Little Footsteps Islam Institute,Little Footsteps Islam Ins,5314 YOCUM ST,19143,(267) 236-8559,Open,Elem/Middle,pre K-8,36,Private,Private
-75.185926134366653,40.02270014679624,581,226515412,,,William Penn Charter School,William Penn CS,3000 W School House La,19144,(215) 844-3460,Open,Elem/Mid/High,pre K-12,921,Private,Private
-75.222383059509994,39.954404885729645,582,226510695,,,Beulah Baptist Christian Day School,Beulah Baptist Christian Day Sch,5001 Spruce St,19139,(215) 747-3347,Open,Elem/Middle,K-8,94,Private,Private
-75.08719642580823,40.015350402537223,583,226511622,,,Frankford Friends School,Frankford Friends School,1500 ORTHODOX ST,19124,(215) 533-5368,Open,Elem/Middle,pre K-8,120,Private,Private
-75.18356851193505,40.049059670867067,584,226515532,,,Project Learn,Project Learn,6519-25 GERMANTOWN AVE,19119,(215) 438-3623,Open,Elem/Middle,K-8,65,Private,Private
-75.172121869218515,40.042696874300688,585,226512992,,,Lotus Academy,Lotus Academy,334 E HAINES ST,19144,(215) 438-7500,Open,Elem/Middle,pre K-8,86,Private,Private
-75.181742260874472,39.910122208114664,586,226510722,,,Calvary Temple Christian Academy,Calvary Temple Chrst Acad,3301 S  20TH  ST,19145,(215) 462-2822,Open,Elem/Middle,pre K-8,121,Private,Private
-75.186789567799011,39.940598888560181,587,226511235,,,Crooked Places Made Straight,Crooked Places Made Straight,2617 Washington Ave,19146,(215) 339-5007,Open,Elem/Mid/High,K-12,101,Private,Private
-75.121728938297977,40.026547878488557,588,226510029,,,Better Way Christian Academy,Better Way Christian Acad,4950 Rising Sun Ave,19120,(267) 336-7529,Open,Elem/Mid/High,K-12,22,Private,Private
-75.149612314223219,39.946051220141833,589,226518902,,,St Marys Interparochial School,St. Mary's Interparochial Sch,440 Locust Street,19106,215-923-7522,Open,Elem/Middle,K-8,247,Private,Archdiocese
-74.985049067316453,40.087577987974385,590,226518722,,,St Martha School,St Martha School,11301 ACADEMY RD,19154,(215) 632-0320,Open,Elem/Middle,pre K-8,359,Private,Archdiocese
-75.038992201273103,40.08192296248432,591,226514052,,,Maternity BVM School,Maternity BVM Sch,9322 Old Bustleton Ave,19115,(215) 673-0235,Open,Elem/Middle,pre K-8,505,Private,Archdiocese
-74.978296656249142,40.07930241604155,592,226514852,,,Our Lady of Calvary School,Our Lady of Calvary Sch,11024 KNIGHTS RD,19154,(215) 637-1648,Open,Elem/Middle,pre K-8,741,Private,Archdiocese
-74.995300520647959,40.075282314099219,593,226511102,,,Christ the King School,Christ the King Sch,3201 CHESTERFIELD RD,19114,(215) 632-1375,Open,Elem/Middle,K-8,357,Private,Archdiocese
-75.185934304852935,40.053350171785439,594,226510019,,,Jesus Is The Way Christian Academy,Jesus Is The Way Christian Acad,6753 GERMANTOWN AVE,19119,267-970-9779,Open,Ungraded,Ungraded,14,Private,Private
-75.191262010029234,40.039531325646948,595,300512880,,,Cooperative Nursery School,Cooperative Nursery Sch,6509 LINCOLN DR,19119,(215) 844-5770,Open,Pre-K,pre K,39,Private,Private
-75.150633465944153,39.947381196905702,596,326510174,,,"Chesterbrook Academy
",Chesterbrook Acad,510 Walnut St,19106,(215)592-8257,Open,Pre-school,Preschool,,Private,Private
-75.15946754930043,40.039608635393733,597,326510169,,,Clarke Schools for Hearing and Speech,"Clarke Pennsylvania, Inc.",625 Wister Street,19144,267-385-3436,Open,Pre-school,Preschool,,Private,Private
-75.165131052724007,39.988716654902532,598,226510085,,,Computer Kidz Christian Academy,Computer Kidz,2243-57 N. 20th St,19132,(215)235-1230,Open,Pre-school,Preschool,12,Private,Private
-75.146386095247905,40.032528046468421,599,226510080,,,Cristo Rey Philadelphia High School,Cristo Rey Phila HS,5218 N. Broad Street,19141,(215)219-3943,Open,High School,9-12,125,Private,Private
-75.189280753059464,40.058862814145975,600,226510088,,,Education Nation Christian Academy,Education Nation Christian Acad,13 E Mount Pleasant Ave,19119,(267)408-1209,Open,,,,Private,Private
-75.167263557634996,40.055578353783879,601,300513890,,,Green Tree School,Green Tree,1196 E Washington Ln,19138,(215) 866-0200,Open,Special Center,Ungraded,,Private,Private
-75.230077727142003,39.991312214864145,602,226510083,,,"In The Beginning, Inc.",In The Beginning,5200 Wynnefield Avenue,19131,(215) 878-4034,Open,Kindergarten,pre K-K,,Private,Private
-75.115382181865883,40.027302879828319,603,226510081,,,Olney Christian School,Olney Christian Sch,425 E. Roosevelt Blvd,19120,(215)324-1186,Open,Elementary School,K-2,29,Private,Private
-75.16761180925063,39.922574102320731,604,226511502,,,Our Lady of Hope Regional Catholic School,Our Lady of Hope,1248 Jackson Street,19148,(215)467-5385,Open,Elem/Middle,K-8,378,Private,Archdiocese
-75.157291570026786,39.957561732311241,605,226510086,,,Philadelphia Classical School,Phila Classical Sch,1101 Vine Street,19146,(412)915-5510,Open,Elem/Mid/High,K-12,,Private,Private
-75.176166291116971,39.94153997384285,606,226510071,,,Philadelphia Free School,Phila Free School,2001 Christian Street,19146,(215)218-9586,Open,Elem/Mid/High,pre K-12,,Private,Private
-75.07544875577527,40.021659631717661,607,226500000,,,School of Faith in God,Faith in God,1680-82 Bridge Street,19124,(215)833-7613,Open,Elem/Mid/High,K-12,,Private,Private
-75.183697188649163,40.006745703144588,608,226510067,,,Smart Center Academy,Smart Center Academy,3301-33 W. Westmoreland Street,19129,(610)742-2804,Open,Pre-school,Preschool,,Private,Private
-75.16104775875074,39.927578398580927,609,226519042,,,St Anthony of Padua Regional Catholic School,St Anthony of Padua,913 Pierce Street,19148,(215)468-0353,Open,Elem/Middle,pre K-8,309,Private,Archdiocese
-75.061294698240829,40.056711197257165,610,226510054,,,Gan Chabad,Gan Chabad,7620 Castor Ave,19152,(215)695-0399,Open,Kindergarten,Kindergarten,20,Private,Private
-75.143925637796926,40.057648043537611,611,326510173,,,Westwood School,Westwood,6801 N 16th St,19126,(267)707-6142,Open,Elementary School,pre K-3,,Private,Private
-75.211911249533571,39.955532301146569,612,226519094,,,The City School at Walnut Street,The City School at Walnut Street,4501 Walnut Street,19139,(215) 382-7839,Open,Middle School,6-8,,Private,Private
-75.161949149658753,39.940197869797416,613,126515001,7904,2620,ACADEMY AT PALUMBO,Academy at Palumbo,1100 CATHARINE ST,19147,215-400-8130,,HIGH,'09-12',921,,DISTRICT
-75.130279068767948,39.972486033244842,614,126515001,7256,5200,"ADAIRE, ALEXANDER SCHOOL",Alexander Adaire School,1300 E PALMER ST,19125,215-400-7480,,ELEMENTARYMIDDLE,'00-08',355,,DISTRICT
-75.183604961271982,39.997182351097955,615,126515001,5292,4440,"ALLEN, DR. ETHEL SCHOOL",Dr. Ethel Allen School,3200 W LEHIGH AVE,19132,215-400-7040,,ELEMENTARYMIDDLE,'00-08',436,,DISTRICT
-75.06191672252524,40.029845387429013,616,126515001,3758,8200,"ALLEN, ETHAN SCHOOL",Ethan Allen School ,6329 BATTERSBY ST,19149,215-400-3270,,ELEMENTARYMIDDLE,'00-08',991,,DISTRICT
-75.097286636168064,39.985366305751199,617,126515001,6823,5430,AMY 5 AT JAMES MARTIN,Alternative Middle Years at James Martin ,3380 RICHMOND ST,19134,215-400-7190,,MIDDLE,'06-08',429,,DISTRICT
-75.212786739287168,40.031060632173435,618,126515001,7024,6480,AMY NORTHWEST,Academy for the Middle Years at Northwest,6000 RIDGE AVE,19128,215-400-3460,,MIDDLE,'06-08',310,,DISTRICT
-75.245716999868648,39.946726000325981,619,126515001,3804,1460,"ANDERSON, ADD B. SCHOOL",Add B. Anderson School,1034 S 60TH ST,19143,215-400-7890,,ELEMENTARYMIDDLE,'00-08',481,,DISTRICT
-75.175898625617606,39.941864465147106,620,126515001,3805,2480,"ARTHUR, CHESTER A. SCHOOL",Chester A. Arthur School,2000 CATHARINE ST,19146,215-400-7940,,ELEMENTARYMIDDLE,'00-08',257,,DISTRICT
-74.974081065676344,40.082649002949424,621,126515001,8039,8040,ARTS ACADEMY AT BENJAMIN RUSH,Arts Academy at Benjamin Rush,11081 KNIGHTS RD,19154,215-400-3030,,HIGH,'09-12',630,,DISTRICT
-75.174077131250925,39.970025287448514,622,126515001,3618,2210,BACHE-MARTIN SCHOOL,Bache-Martin School,2201 BROWN ST,19130,215-400-7550,,ELEMENTARYMIDDLE,'00-08',465,,DISTRICT
-75.052630844966174,40.092006028107846,623,126515001,6824,8160,BALDI MIDDLE SCHOOL,Baldi School,8801 VERREE RD,19115,215-400-3090,,MIDDLE,'06-08',1439,,DISTRICT
-75.238603760587281,39.964374939761711,624,126515001,8029,1200,"BARRY, JOHN ELEMENTARY SCHOOL",John Barry School,5900 RACE ST,19139,215-400-7640,,ELEMENTARYMIDDLE,'00-08',644,,DISTRICT
-75.119549594098586,40.020373609694012,625,126515001,3732,7200,BARTON SCHOOL,Clara Barton School,4600 ROSEHILL ST,19120,215-400-3720,,ELEMENTARY,'00-02',713,,DISTRICT
-75.233861577972917,39.921683125499328,626,126515001,3847,1010,"BARTRAM, JOHN HIGH SCHOOL",John Bartram High School,2401 S 67TH ST,19142,215-400-8100,,HIGH,'09-12',565,,DISTRICT
-75.148184356895158,40.003640677671527,627,126515001,5183,7510,"BETHUNE, MARY MCLEOD SCHOOL",Mary M. Bethune School,3301 OLD YORK RD,19140,215-400-3890,,ELEMENTARYMIDDLE,'00-08',726,,DISTRICT
-75.182938869881653,39.985212970125176,628,126515001,3662,4220,"BLAINE, JAMES G. SCHOOL",James G. Blaine School,3001 W BERKS ST,19121,215-400-7330,,ELEMENTARYMIDDLE,'00-08',494,,DISTRICT
